month,total_complaints,untimely_count
2015-03,2375,72
2015-04,5376,212
2015-05,5643,211
2015-06,5904,216
2015-07,6627,230
2015-08,6452,217
2015-09,5759,167
2015-10,6258,195
2015-11,5136,190
2015-12,5193,175
2016-01,5649,239
2016-02,5578,195
2016-03,6406,250
2016-04,6212,217
2016-05,6192,209
2016-06,6332,204
2016-07,6562,170
2016-08,7086,243
2016-09,7484,322
2016-10,7542,404
2016-11,6140,343
2016-12,6585,283
2017-01,9473,324
2017-02,7656,295
2017-03,8462,287
2017-04,8538,203
2017-05,9694,451
2017-06,9175,209
2017-07,10017,188
2017-08,10304,211
2017-09,13456,180
2017-10,9903,345
2017-11,9177,522
2017-12,9225,225
2018-01,11465,253
2018-02,10508,230
2018-03,11139,207
2018-04,10662,176
2018-05,10389,194
2018-06,9037,210
2018-07,9493,239
2018-08,9833,213
2018-09,8340,190
2018-10,10049,180
2018-11,8829,156
2018-12,8649,148
2019-01,8528,152
2019-02,9608,232
2019-03,10361,185
2019-04,10090,163
2019-05,10472,209
2019-06,10606,178
2019-07,11161,172
2019-08,12055,174
2019-09,10345,165
2019-10,11707,207
2019-11,10243,182
2019-12,9660,164
2020-01,11575,226
2020-02,10955,165
2020-03,13133,204
2020-04,15202,217
2020-05,16348,235
2020-06,15710,206
2020-07,17255,199
2020-08,15862,177
2020-09,14208,205
2020-10,14334,200
2020-11,13861,188
2020-12,15863,205
2021-01,16440,186
2021-02,14975,220
2021-03,18519,280
2021-04,16171,249
2021-05,16321,233
2021-06,17374,358
2021-07,18405,316
2021-08,16928,278
2021-09,16588,264
2021-10,16709,239
2021-11,16967,204
2021-12,18167,287
2022-01,19548,186
2022-02,21491,200
2022-03,24242,274
2022-04,30245,297
2022-05,24775,204
2022-06,26614,230
2022-07,29114,206
2022-08,32056,223
2022-09,29788,207
2022-10,32593,225
2022-11,31536,257
2022-12,35163,226
2023-01,39586,341
2023-02,35024,234
2023-03,41062,283
2023-04,36596,192
2023-05,41135,196
2023-06,41320,136
2023-07,40772,173
2023-08,46311,219
2023-09,42517,291
2023-10,43349,414
2023-11,38895,334
2023-12,40850,323
2024-01,43922,375
2024-02,48111,351
2024-03,61164,392
2024-04,63969,321
2024-05,71314,301
2024-06,68199,245
2024-07,72849,273
2024-08,75895,332
2024-09,74366,302
2024-10,79687,294
2024-11,73589,329
2024-12,81325,337
2025-01,172939,795
2025-02,92469,673
2025-03,105166,1305
2025-04,104983,1192
2025-05,106949,1133
2025-06,112690,1088
2025-07,125540,1052
2025-08,108865,866
2025-09,81661,694
2025-10,76161,539
2025-11,78012,670
2025-12,56371,653
2026-01,21950,744
2026-02,11577,354
2026-03,14186,336
2026-04,3437,17
Best re,1,0
I am an,1,0
In re-b,1,0
The Fai,1,0
XXXX XX,2,0
