state,count
TX,478542
FL,452367
CA,402945
GA,282249
NY,217474
IL,177622
PA,143816
NC,141213
NJ,119873
MD,93340
VA,90670
OH,89940
MI,88407
SC,82952
LA,73067
AZ,69234
AL,65851
TN,63505
NV,53952
MO,51166
MA,50775
IN,45440
WA,38411
MS,36469
CO,34966
AR,29795
CT,29463
WI,27215
MN,25713
KY,20666
OK,19154
DE,18384
OR,18108
UT,16356
DC,15234
KS,11593
NM,10265
IA,10228
RI,8696
NE,8636
HI,7550
PR,6191
WV,5846
NH,5840
ID,5822
ME,4225
MT,3324
AK,2816
ND,2676
SD,2186
WY,2062
VT,1770
VI,916
AE,841
AP,475
UNITED STATES MINOR OUTLYING ISLANDS,427
GU,227
AA,58
FM,54
AS,41
MP,33
MH,4
PW,2
 and proof of delinquency,1
